Reward,Throughput,Latancy,PRBs,Each_time,Totel_time
-5.963603700000002,305.72296,902.08333,23.491,0.03849005699157715,46.31167817115784
-6.058192100000003,300.07568,905.8948900000001,22.942,0.040134429931640625,46.359700441360474
-6.058243600000001,300.07464,905.8990000000001,22.945,0.0388798713684082,46.40728712081909
-6.168747800000001,298.13672,915.0115000000001,22.626,0.038114309310913086,46.453776597976685
-6.191127400000001,296.62992,915.74266,22.472,0.038785696029663086,46.500593423843384
-6.272563899999998,299.33008,926.5864699999998,22.643,0.0388035774230957,46.54741311073303
-6.248666200000001,302.46976,927.33638,22.939,0.07724905014038086,46.633111000061035
-6.2215425,302.53104,924.68529,23.214,0.03911328315734863,46.680930852890015
-6.2204859,302.64976,924.69835,23.212,0.04085993766784668,46.73291039466858
-5.640234399999999,343.01776,907.0411999999999,27.537,0.03898978233337402,46.783015727996826
-5.6418097,342.89784,907.07881,27.584,0.03816390037536621,46.83046078681946
-5.181278799999999,345.90168,864.0295600000001,27.906999999999996,0.039279937744140625,46.87851405143738
-5.181278799999999,345.90168,864.0295600000001,27.906999999999996,0.03835654258728027,46.92565369606018
-4.665773699999997,345.66416000000004,812.2415299999999,27.835,0.03932666778564453,46.973575830459595
-4.665773699999997,345.66416000000004,812.2415299999999,27.835,0.03855323791503906,47.02012538909912
-4.224481999999999,342.63576,765.0839599999999,27.528999999999996,0.03840756416320801,47.067440032958984
-4.2233903999999995,342.7532,765.09224,27.536,0.03815746307373047,47.11440968513489
-3.7433145000000008,341.56912,715.90057,27.43,0.03897857666015625,47.161184787750244
-3.7419331000000002,341.6876,715.88091,27.445999999999998,0.03889799118041992,47.20863699913025
-3.1467516,345.89928,660.57444,27.909,0.042172908782958984,47.259623765945435
-3.1466868000000003,345.90232,660.571,27.913999999999998,0.03884553909301758,47.306386947631836
-2.6985768,344.81464,614.67232,27.756999999999998,0.03848767280578613,47.3532440662384
-2.6987876000000006,344.81344,614.6922000000001,27.752,0.038039207458496094,47.39888334274292
-2.6320690000000004,344.91904,608.12594,27.753999999999998,0.03848671913146973,47.444846630096436
-2.6333038,344.80096,608.13134,27.741999999999997,0.03842782974243164,47.49187469482422
-2.579069200000001,345.508,603.41492,27.811999999999998,0.038725852966308594,47.53904438018799
-2.5789467000000013,345.50696,603.4016300000001,27.81,0.03898930549621582,47.5868136882782
-2.5274394000000013,345.77992,598.5238600000001,27.9,0.038416385650634766,47.633904218673706
-2.5274322000000007,345.77872,598.5219400000001,27.905,0.03930974006652832,47.68125820159912
-2.5253919000000016,346.02056,598.5597500000001,27.86,0.041161298751831055,47.73286032676697
-2.288577399999999,365.64656,594.5043,29.679,0.038959503173828125,47.781747341156006
-2.288577399999999,365.64656,594.5043,29.679,0.03846096992492676,47.8290855884552
-2.192937199999999,370.56208000000004,589.8557999999999,30.165,0.0394442081451416,47.876996755599976
-2.192937199999999,370.56208000000004,589.8557999999999,30.165,0.03807258605957031,47.92293691635132
-2.2871926000000005,358.90103999999997,587.6203,28.598000000000003,0.0385439395904541,47.969926834106445
-2.2871926000000005,358.90103999999997,587.6203,28.598,0.03921866416931152,48.017436504364014
