Trained Epochs,BC Loss,QL Loss,Actor Loss,Critic Loss
0,0.33697056770324707,0.023584414273500443,0.040432944893836975,1.6908768429857446e-06
0,0.16840259730815887,0.022905521094799042,0.031325653195381165,4.3570622665356495e-07
0,0.19608575105667114,0.0222813468426466,0.032085634768009186,4.795268182533619e-07
0,0.22179700434207916,0.022406956180930138,0.03349680453538895,2.778211012355314e-07
0,0.12925821542739868,0.022500308230519295,0.02896321937441826,2.156530740649032e-07
0,0.2511913478374481,0.023625541478395462,0.03618510812520981,5.177919959464816e-08
0,0.17211496829986572,0.023101553320884705,0.03170730173587799,7.26268751805037e-08
0,0.04487035423517227,0.022430574521422386,0.02467409148812294,7.612716501625982e-08
0,0.1568789929151535,0.022430887445807457,0.03027483820915222,2.4110029528401355e-08
0,0.39929360151290894,0.022653525695204735,0.04261820763349533,2.795447073822288e-08
